locode,locode_alias,name,name_alias,wni_country_code,wni_area_code,latitude,longitude,timezone,has_berth,has_port_forecast
GQZAF,,ZAFIRO TERMINAL,,,,3.86,8.13,Africa/Malabo,No,No
GRAGF,,AGIOS NIKOLAOS,,,,38.3613,22.6491,Europe/Athens,No,No
GRAGT,,AGIO THEODOROI,,,,37.9034,23.0845,Europe/Athens,No,No
GRARM,,ARGOSTOLION,,,,38.2021,20.4439,Europe/Athens,No,No
GRCFU,,CORFU,,,,39.6318,19.9055,Europe/Athens,No,No
GRDRE,,DREPANO,,,,38.3399,21.8426,Europe/Athens,No,No
GRGPA,,PATRAS,,,,38.2529,21.729,Europe/Athens,No,No
GRHKL,,HERAKLION,,,,35.3506,25.1564,Europe/Athens,No,No
GRIGO,,IGOUMENITSA,,,,39.4993,20.2584,Europe/Athens,No,No
GRJMK,,MYKONOS,,,,37.463,25.3219,Europe/Athens,No,No
GRJSY,,SYROS,,,,37.4362,24.9451,Europe/Athens,No,No
GRJTR,,THIRA,,,,36.3901,25.4264,Europe/Athens,No,No
GRKAK,,KATAKOLON,,,,37.6421,21.3225,Europe/Athens,No,No
GRKLL,,KALILIMENES,,,,34.9183,24.8081,Europe/Athens,No,No
GRPIR,,PIRAEUS,,GR,PIR,37.9392,23.6248,Europe/Athens,Yes,Yes
GRPME,,PACHI,,,,37.9718,23.3641,Europe/Athens,No,No
GRPTL,,PORT LAGOS,,,,41.0051,25.1259,Europe/Athens,No,No
GRPYL,,PYLOS,,,,36.9189,21.6949,Europe/Athens,No,No
GRREV,,REVITHOUSSA,,,,37.9664,23.4069,Europe/Athens,No,No
GRRHO,,RHODES,,,,36.4484,28.2324,Europe/Athens,No,No
GRSDH,,SOUDA,,,,35.4921,24.0828,Europe/Athens,No,No
GRSKG,,THESSALONIKI,,GR,TSL,40.6279,22.9346,Europe/Athens,Yes,Yes
GRTHI,,THISVI,,,,38.2087,22.9474,Europe/Athens,No,No
GRVOL,,VOLOS,,,,39.3513,22.9457,Europe/Athens,No,No
GRZTH,,ZAKYNTHOS,,,,37.7802,20.9053,Europe/Athens,No,No
GTPBR,,PUERTO BARRIOS,,,,15.7351,-88.6108,America/Guatemala,No,No
GTPRQ,,PUERTO QUETZAL,,GT,PQL,13.9168,-90.7827,America/Guatemala,Yes,Yes
GTSNJ,,SAN JOSE,,,,13.9157,-90.7828,America/Guatemala,No,No
GTSTC,,PUERTO SANTO TOMAS DE CASTILLA,,,,15.6955,-88.6232,America/Guatemala,No,No
GTSTZ,,SANTO TOMAS,,GT,SCT,15.6984,-88.6197,America/Guatemala,Yes,Yes
GUGUM,,GUAM,GUAM ISLAND,,,13.4517,144.6265,Pacific/Guam,No,No
GWOXB,,BISSAU,,GW,BSU,11.8531,-15.5746,Africa/Bissau,Yes,Yes
GYGEO,,GEORGETOWN,,GY,GEO,6.8144,-58.1728,America/Guyana,Yes,Yes
GYNAM,,NEW AMSTERDAM,,,,6.2507,-57.53,America/Guyana,No,No
HKHKG,,HONG KONG,,CN,HKG,22.3239,114.1142,Asia/Hong_Kong,Yes,Yes
HNPCR,,PUERTO CORTES,,HN,PUC,15.8324,-87.9466,America/Tegucigalpa,Yes,Yes
HNRTB,,ROATAN ISLAND,,,,16.3018,-86.5453,America/Tegucigalpa,No,No
HNSLO,,SAN LORENZO,,,,13.3897,-87.4263,America/Tegucigalpa,No,No
HRBAK,,BAKAR,,,,45.2884,14.5649,Europe/Zagreb,No,No
HRDBV,,DUBROVNIK,,,,42.6489,18.0249,Europe/Zagreb,No,No
HROMI,,OMISALJ,,,,45.231,14.5254,Europe/Zagreb,No,No
HRPLE,,PLOCE,,,,43.0449,17.4211,Europe/Zagreb,No,No
HRRAS,,RASA,,,,45.0255,14.0508,Europe/Zagreb,No,No
HRRJK,,RIJEKA,,HR,RJK,45.3241,14.4276,Europe/Zagreb,No,Yes
HRSPU,,SPLIT,,,,43.5025,16.4352,Europe/Zagreb,No,No
HTCAP,,CAP HAITIEN,CAP-HAITIEN,,,19.7577,-72.1943,America/Port-au-Prince,No,No
HTPAP,,PORT AU PRINCE,PORT-AU-PRINCE,,,18.5553,-72.3537,America/Port-au-Prince,No,No
IDADB,,ADANG BAY,,,,-1.7513,116.4032,Asia/Makassar,No,No
IDAMA,,AMAMAPARE,,,,-4.8639,136.9707,Asia/Jayapura,No,No
IDANO,,ANOA TERMINAL,,,,5.2166,105.6,Etc/GMT-7,No,No
IDANR,,ANYER KIDUL,,,,-6.0268,105.9345,Asia/Jakarta,No,No
IDAPI,,API API,,,,-2.3673,104.8028,Asia/Jakarta,No,No
IDAUN,,ARUN,,,,5.2203,97.1052,Asia/Jakarta,No,No
IDBAL,,BALONGAN TERMINAL,,,,-6.2925,108.3875,Asia/Jakarta,No,No
IDBDJ,,BANJARMASIN,,,,-3.3303,114.5527,Asia/Makassar,No,No
IDBEN,,BENETE,,,,-8.8943,116.7474,Asia/Makassar,No,No
IDBET,,BELIDA,,,,4.1333,105.1333,Asia/Jakarta,No,No
IDBIT,,BITUNG,,ID,BIT,1.4395,125.1965,Asia/Makassar,Yes,Yes
IDBLW,,BELAWAN,,ID,BLA,3.7913,98.7083,Asia/Jakarta,Yes,Yes
IDBNT,,BELANAK TERMINAL,,,,4.1666,106.2166,Etc/GMT-7,No,No
IDBPN,,BALIKPAPAN,KALIMANTAN,,,-1.2596,116.8122,Asia/Makassar,No,No
IDBTM,,BATAM ISLAND,,,,1.1672,103.9947,Asia/Jakarta,Yes,No
IDBUA,,BULA,,,,-3.0973,130.5014,Asia/Jayapura,No,No
IDBUR,,BATU AMPAL,,,,1.1671,103.9968,Asia/Makassar,No,No
IDBXT,,BONTANG,,,,0.0884,117.5003,Asia/Makassar,No,No
IDCIG,,CIGADING,,,,-6.0134,105.9523,Asia/Jakarta,No,No
IDCIN,,CINTA TERMINAL,,,,-5.4666,106.2333,Asia/Jakarta,No,No
IDCIW,,CIWANDAN,,,,-6.0101,105.9554,Asia/Jakarta,No,No
IDCXP,,CILACAP,,,,-7.7513,109.0104,Asia/Jakarta,No,No
IDDOG,,DONGGI SENORO LNG TERMINAL,,,,-1.2598,122.5974,Asia/Makassar,No,No
IDDUM,,DUMAI,,,,1.6973,101.487,Asia/Jakarta,No,No
IDENO,,KUALA ENOK,,,,-0.5161,103.393,Asia/Jakarta,No,No
IDEXS,,EXSPAN TERMINAL,,,,-1.8333,105.1366,Asia/Jakarta,No,No
IDFTG,,PELABUHAN FUTONG TERMINAL,,,,0.8268,102.4055,Asia/Jakarta,No,No
IDGEB,,GEBE,,,,-0.0757,129.4136,Asia/Jayapura,No,No
IDGEE,,PULAU GEE,,,,0.836,128.3132,Asia/Jayapura,No,No
IDGRE,,GRESIK,,,,-7.1926,112.7313,Asia/Jakarta,No,No
IDIAM,,ASAM ASAM,,,,-3.9676,115.1273,Asia/Makassar,No,No
IDJKT,IDTPP,JAKARTA,"TANJUNG PRIOK,JAVA",ID,TJP,-6.0875,106.8842,Asia/Jakarta,Yes,Yes
IDJOR,,JORONG ANCHORAGE,,,,-4.1833,115.1,Asia/Makassar,No,No
IDKBU,,KOTA BARU,,,,-3.2804,116.119,Asia/Makassar,No,No
IDKDW,,KENDAWANGAN,,,,-2.5232,110.1873,Asia/Pontianak,No,No
IDKID,,BINTAN,KIDJANG,,,0.8456,104.612,Asia/Jakarta,No,No
IDKIJ,,KIJANG,,,,0.8656,104.6152,Asia/Jakarta,No,No
IDKLR,,KALIORANG,,,,0.8039,117.8555,Asia/Makassar,No,No
IDKNL,,KOLONODALE,,,,-1.9793,121.3446,Asia/Makassar,No,No
IDKNO,,KUALA TANJUNG,,,,3.3717,99.4663,Asia/Jakarta,No,No
IDKSO,,KALBUT SITUBONDO,,,,-7.6752,113.9344,Asia/Jakarta,No,No
IDKUM,,KUMAI,,,,-2.7413,111.731,Asia/Pontianak,No,No
IDLAT,,LALANG,,,,-2.376,104.6357,Asia/Jakarta,No,No
IDLUW,,LUWUK,,,,-0.9487,122.7975,Asia/Makassar,No,No
IDLVN,,LANGSA TERMINAL,,,,5.3,98.0333,Asia/Jakarta,No,No
IDMAK,,MAKASSAR,,,,-5.1178,119.3997,Asia/Makassar,No,No
IDMKQ,,MERAUKE,,,,-8.4766,140.3895,Asia/Jayapura,No,No
IDMLI,,MALILI,,,,-2.6456,120.8232,Asia/Makassar,No,No
IDMPN,,MUARA PANTAI,,,,1.9833,118.1333,Asia/Makassar,No,No
IDMRK,,MERAK,,ID,MRK,-5.9126,105.991,Asia/Jakarta,Yes,Yes
IDMSK,,MUARA SABAK,,,,-1.02,103.82,Asia/Jakarta,No,No
IDMUB,,MUARA BERAU,,,,-0.3388,117.595,Asia/Makassar,No,No
IDMUO,,MUNTOK,,,,-2.0728,105.1597,Asia/Jakarta,No,No
IDNIP,,NIPAH ANCHORAGE,,,,1.1069,103.635,Asia/Jakarta,No,No
IDNNX,,NUNUKAN,,,,4.1511,117.6777,Asia/Makassar,No,No
IDNPL,,NORTH PULAU LAUT,,,,-3.231,116.2219,Asia/Makassar,No,No
IDOKA,,KARIMUN,,,,0.9865,103.4479,Asia/Jakarta,No,No
IDPBJ,,PULAU BUNYU,,,,3.454,117.8265,Asia/Makassar,No,No
IDPDG,,PADANG,,,,-0.9626,100.3494,Asia/Jakarta,No,No
IDPLA,,PLAJU,,,,-2.9852,104.8061,Asia/Jakarta,No,No
IDPLM,,PALEMBANG,,,,-2.983,104.7812,Asia/Jakarta,No,No
IDPNJ,,PANJANG,,ID,PNJ,-5.4634,105.3008,Asia/Jakarta,Yes,Yes
IDPNK,,PONTIANAK,,,,-0.0146,109.3346,Asia/Pontianak,No,No
IDPSS,,PULAU SAMBU,,,,1.1575,103.8966,Asia/Jakarta,No,No
IDPUM,,POMALAA,,,,-4.2181,121.5686,Asia/Makassar,No,No
IDSAT,,SANTAN TERMINAL,,,,-0.0846,117.4963,Asia/Makassar,No,No
IDSEI,,SEBUKU,,,,-3.7,116.4,Asia/Makassar,No,No
IDSEQ,,SUNGAI PAKNING,,,,1.3826,102.1494,Asia/Jakarta,No,No
IDSMB,,SEMANGKA BAY TERMINAL,,,,-5.5833,104.6166,Asia/Jakarta,No,No
IDSRG,,SEMARANG,,ID,SEM,-6.9386,110.4201,Asia/Jakarta,Yes,Yes
IDSRI,,SAMARINDA,,,,-0.5091,117.1502,Asia/Makassar,No,No
IDSTU,,SATUI,,,,-3.8204,115.4803,Asia/Makassar,No,No
IDSUB,,SURABAYA,,ID,SRB,-7.1906,112.7213,Asia/Jakarta,Yes,Yes
IDSUS,,SUSOH,,,,3.7193,96.8015,Asia/Jakarta,No,No
IDSZH,,SENIPAH,,,,-1.05,117.2166,Asia/Makassar,No,No
IDTAB,,TABONEO,,,,-3.7,114.5,Asia/Makassar,No,No
IDTAN,,TANJUNGUBAN,,,,1.0613,104.2102,Asia/Jakarta,No,No
IDTAR,,TARJUN,,,,-3.2895,116.1181,Asia/Makassar,No,No
IDTBA,,TANJUNG BARA,,,,0.5329,117.6697,Asia/Makassar,No,No
IDTBN,,TUBAN,,,,-6.8835,112.0628,Asia/Jakarta,No,No
IDTBU,,TANJUNG BULI,,,,0.8711,128.2986,Asia/Jayapura,No,No
IDTJQ,,TANJUNG PANDAN,,,,-2.7478,107.6191,Asia/Jakarta,No,No
IDTNB,,APAR BAY,,,,-2.0372,116.5013,Asia/Makassar,No,No
IDTPN,,TANJUNG PEMANCINGAN,,,,-3.214,116.2867,Asia/Makassar,No,No
IDTRH,,"TARAHAN, SUMATRA",,,,-5.4711,105.3089,Asia/Jakarta,No,No
IDTRK,,TARAKAN,,,,3.286,117.585,Asia/Makassar,No,No
IDTZD,,AMURANG,,,,1.2078,124.5508,Asia/Makassar,No,No
IDWID,,WIDURI TERMINAL,,,,-4.6666,106.65,Asia/Jakarta,No,No
IEAUG,,AUGHINISH ISLAND,,,,52.6463,-9.0589,Europe/Dublin,No,No
IEBYT,,BANTRY,,,,51.683,-9.4654,Europe/Dublin,No,No
IEDUB,,DUBLIN,,,,53.3443,-6.1786,Europe/Dublin,Yes,No
IEFOV,,FOYNES,,,,52.6166,-9.1,Europe/Dublin,No,No
IEGRN,,GREENORE,,,,54.0311,-6.119,Europe/Dublin,No,No
IELMK,,LIMERICK,,,,52.6594,-8.6465,Europe/Dublin,No,No
IEMOT,,MONEYPOINT,,,,52.595,-9.4202,Europe/Dublin,No,No
IEORK,,CORK,,IE,CRK,51.8954,-8.3875,Europe/Dublin,Yes,Yes
IERIN,,RINGASKIDDY,,,,51.8368,-8.3258,Europe/Dublin,No,No
IEWHI,,WHITEGATE,,,,51.8261,-8.2628,Europe/Dublin,No,No
ILAKL,,ASHKELON,,,,31.6336,34.5112,Asia/Jerusalem,No,No
ILASH,,ASHDOD,,IL,ASH,31.8345,34.6408,Asia/Jerusalem,Yes,Yes
ILETH,,ELAT,EILATH,,,29.5456,34.9583,Asia/Jerusalem,No,No
ILHAD,,HADERA,,,,32.4689,34.8513,Asia/Jerusalem,No,No
ILHFA,,HAIFA,,IL,HAF,32.8675,34.9766,Asia/Jerusalem,Yes,Yes
INALA,,ALANG,,,,21.4033,72.1993,Asia/Kolkata,No,No
INBED,,BEDI,,,,22.5437,70.0259,Asia/Kolkata,No,No
INBLK,,BELEKERI,,,,14.7088,74.2543,Asia/Kolkata,No,No
INBOM,,MUMBAI,,,,18.9331,72.8518,Asia/Kolkata,No,No
INCCU,,CALCUTTA,,,,22.5497,88.3198,Asia/Kolkata,No,No
INCOK,,COCHIN,,IN,COC,9.9709,76.2542,Asia/Kolkata,No,Yes
INDAH,,DAHEJ,,,,21.6713,72.5051,Asia/Kolkata,No,No
INDHP,,DABHOL,,,,17.577,73.1384,Asia/Kolkata,No,No
INDHU,,DAHANU,,,,19.9633,72.7392,Asia/Kolkata,No,No
INDIG,,DIGHI,,,,18.2873,72.9706,Asia/Kolkata,No,No
INDMQ,,DHAMRA,,,,20.8196,86.9802,Asia/Kolkata,No,No
INENR,,ENNORE,,,,13.2609,80.3437,Asia/Kolkata,No,No
INGGV,,GANGAVARAM,,,,17.6204,83.2431,Asia/Kolkata,No,No
INGOI,,GOA,,,,15.4153,73.8068,Asia/Kolkata,No,No
INHAL,,HALDIA,,,,22.0045,88.0653,Asia/Kolkata,No,No
INHZA,,HAZIRA,,IN,HAZ,21.0878,72.6124,Asia/Kolkata,Yes,Yes
INIXE,,MANGALORE,,,,12.9267,74.804,Asia/Kolkata,No,No
INIXY,,KANDLA,,,,22.9926,70.2275,Asia/Kolkata,No,No
INJAK,,JAKHAU,,,,23.2401,68.6017,Asia/Kolkata,No,No
INJGA,,JAMNAGAR,,,,22.4524,69.7939,Asia/Kolkata,No,No
INJGD,,JAIGARH,,,,17.3084,73.1898,Asia/Kolkata,No,No
INKAK,,KAKINADA,,,,16.9813,82.2872,Asia/Kolkata,No,No
INKAT,INKTP,KATTUPALLI,,IN,KTTPL,13.2696,80.3575,Asia/Kolkata,Yes,Yes
INKBT,,KHAMBHAT,,,,22.2767,72.6052,Asia/Kolkata,No,No
INKRI,,KRISHNAPATNAM,,IN,KRP,14.2507,80.1297,Asia/Kolkata,Yes,Yes
INKRK,,KARAIKAL,,,,10.9131,79.8563,Asia/Kolkata,No,No
INKRW,,KARWAR,,,,14.8123,74.1143,Asia/Kolkata,No,No
INMAA,,CHENNAI,,IN,CNI,13.1065,80.3064,Asia/Kolkata,Yes,Yes
INMDK,,MUL DWARKA,,,,20.7583,70.6676,Asia/Kolkata,No,No
INMRM,,MARNAGAO,MARMUGAO,,,15.4218,73.7856,Asia/Kolkata,No,No
INMUN,,MUNDRA,,IN,MUN,22.7381,69.7184,Asia/Kolkata,Yes,Yes
INNAV,,NAVALAKHI,NAVLAKHI,,,22.9637,70.4348,Asia/Kolkata,No,No
INNML,,NEW MANGALORE,,,,12.9265,74.805,Asia/Kolkata,No,No
INNPT,,NAGAPPATTINAM,,,,10.7649,79.8542,Asia/Kolkata,No,No
INNSA,,NHAVA SHEVA,,IN,NHA,18.9566,72.9414,Asia/Kolkata,Yes,Yes
INOKH,,OKHA,,,,22.4723,69.0856,Asia/Kolkata,No,No
INPAN,,PANAJI,,,,15.5032,73.8236,Asia/Kolkata,No,No
INPAV,,PIPAVAV,,IN,PIP,20.917,71.5166,Asia/Kolkata,Yes,Yes
INPBD,,PORBANDAR,,,,21.6275,69.5936,Asia/Kolkata,No,No
INPPT,,PARADIP,,,,20.2663,86.6742,Asia/Kolkata,No,No
INPST,,SIKKA,,,,22.4964,69.8259,Asia/Kolkata,No,No
INRED,,REDI,,,,15.7493,73.6518,Asia/Kolkata,No,No
INRVD,,REVDANDA,,,,18.5429,72.9105,Asia/Kolkata,No,No
INTUT,,TUTICORIN,,,,8.7473,78.2266,Asia/Kolkata,Yes,No
INVAD,,VADINAR,,,,22.4625,69.6739,Asia/Kolkata,No,No
INVTZ,,VISAKHAPATNAM,,IN,VIS,17.6926,83.2819,Asia/Kolkata,Yes,Yes
IQBSR,,BASRA,,,,30.4257,48.1643,Asia/Baghdad,No,No
IQKHA,,KHOR AL AMAYA TERMINAL,,,,29.7854,48.8171,Asia/Baghdad,No,No
IQMAB,,BASRAH OIL TERMINAL,,,,29.683,48.8169,Asia/Baghdad,No,No
IQUQR,,UMM QASR,,,,30.0422,47.9474,Asia/Baghdad,Yes,No
IRABD,,ABADAN,,,,30.3343,48.2724,Asia/Tehran,No,No
IRBAH,,ASSALUYEH,,,,27.5252,52.5556,Asia/Tehran,No,No
IRBIK,,BANDAR MAHSHAHR,,,,30.4203,49.0848,Asia/Tehran,No,No
IRBKM,,BANDAR KHOMEINI,,,,30.4172,49.0608,Asia/Tehran,No,No
IRBND,,BANDAR ABBAS,,,,27.119,56.1098,Asia/Tehran,No,No
IRBSR,,BANDAR SHAHID RAJAEE,,,,27.0928,56.063,Asia/Tehran,No,No
IRBUZ,,BUSHEHR,,,,28.9962,50.822,Asia/Tehran,No,No
IRCYT,,SOROOSH TERMINAL,,,,29.0167,49.4669,Asia/Tehran,No,No
IRIAQ,,RAS BAHREGAN,,,,29.7166,50.1667,Asia/Tehran,No,No
IRKHK,,KHARG ISLAND,KHARK ISLAND,,,29.2251,50.3351,Asia/Tehran,No,No
IRKHO,,KHORRAMSHAHR,,,,30.4292,48.1694,Asia/Tehran,No,No
IRLVP,,LAVAN ISLAND,,,,26.7857,53.3458,Asia/Tehran,No,No
IRQSM,,QESHM,,,,26.5499,55.75,Asia/Tehran,No,No
IRSXI,,SIRRI ISLAND,,,,25.8944,54.5534,Asia/Tehran,No,No
ISGRT,,GRUNDARTANGI,,,,64.35,-21.7666,Atlantic/Reykjavik,No,No
ITAOI,,ANCONA,,,,43.6238,13.4924,Europe/Rome,No,No
ITAUG,,AUGUSTA,,IT,AUG,37.2251,15.2165,Europe/Rome,Yes,Yes
ITBDS,,BRINDISI,,,,40.6552,17.9779,Europe/Rome,No,No
ITBRI,,BARI,,,,41.1435,16.8444,Europe/Rome,No,No
ITCAG,,CAGLIARI,,,,39.2025,9.1132,Europe/Rome,Yes,No
ITCHI,,CHIOGGIA,,,,45.2265,12.2841,Europe/Rome,No,No
ITCRV,,CROTONE,,,,39.0946,17.1246,Europe/Rome,No,No
ITCTA,,CATANIA,,IT,CTA,37.4896,15.0963,Europe/Rome,Yes,Yes
ITCVV,,CIVITAVECCHIA,,,,42.1046,11.7691,Europe/Rome,No,No
ITFCO,,FIUMICINO,,,,41.7709,12.2247,Europe/Rome,No,No
ITGAE,,GAETA,,,,41.2223,13.5823,Europe/Rome,No,No
ITGEA,,GELA,,,,37.0456,14.2312,Europe/Rome,No,No
ITGIT,,GIOIA TAURO,,IT,GOT,38.4438,15.8981,Europe/Rome,Yes,Yes
ITGOA,,GENOVA,,IT,GEN,44.3901,8.9425,Europe/Rome,Yes,Yes
ITLIV,,LEGHORN,LIVORNO,IT,LIE,43.5556,10.2911,Europe/Rome,Yes,Yes
ITMDC,,MARINA DI CARRARA,,,,44.0271,10.0446,Europe/Rome,No,No
ITMLZ,,MILAZZO,,,,38.215,15.249,Europe/Rome,No,No
ITMNF,,MONFALCONE,,,,45.7791,13.5504,Europe/Rome,No,No
ITMSN,,MESSINA,,IT,ME,38.1939,15.561,Europe/Rome,Yes,Yes
ITNAP,,NAPOLI,NAPLES,IT,NAPO,40.8346,14.2785,Europe/Rome,No,Yes
ITOLB,,OLBIA,,,,40.9237,9.5266,Europe/Rome,No,No
ITPFX,,SARROCH,,,,39.0877,9.0282,Europe/Rome,No,No
ITPIO,,PIOMBINO,,,,42.9345,10.5573,Europe/Rome,No,No
ITPMO,,PALERMO,,IT,PA,38.1252,13.3742,Europe/Rome,Yes,No
ITPPL,,CAPE PASSERO,,,,36.667,15.1185,Europe/Rome,No,No
ITPTF,,PORTOFINO,,,,44.2954,9.2239,Europe/Rome,No,No
ITPTO,,PORTO TORRES,,,,40.8501,8.3925,Europe/Rome,No,No
ITPVE,,PORTO VESME,,,,39.1933,8.3902,Europe/Rome,No,No
ITPVT,,PORTO LEVANTE,,,,45.079,12.3825,Europe/Rome,No,No
ITPZL,,POZZALLO,,,,36.7118,14.8387,Europe/Rome,No,No
ITQOS,,ORISTANO,,,,39.8648,8.5481,Europe/Rome,No,No
ITRAN,,RAVENNA,,,,44.4953,12.2939,Europe/Rome,No,No
ITRVO,,ROVIGO LNG TERMINAL,,,,45.0917,12.5861,Europe/Rome,No,No
ITSAL,,SALERNO,,IT,SLO,40.6695,14.7574,Europe/Rome,Yes,Yes
ITSPE,,LA SPEZIA,,IT,LAS,44.101,9.8396,Europe/Rome,Yes,Yes
ITSVN,,SAVONA,,,,44.3167,8.5041,Europe/Rome,No,No
ITTAR,,TARANTO,,IT,TAR,40.4652,17.21,Europe/Rome,Yes,Yes
ITTOA,,TORRE ANNUNZIATA,,,,40.744,14.4519,Europe/Rome,No,No
ITTPS,,TRAPANI,,,,38.012,12.5039,Europe/Rome,No,No
ITTRS,,TRIESTE,,IT,TRET,45.6339,13.749,Europe/Rome,Yes,Yes
ITVCE,,VENEZIA,,,,45.4353,12.3009,Europe/Rome,No,No
JMKIN,,KINGSTON,,,,17.9746,-76.8245,America/Jamaica,Yes,No
JMMBJ,,MONTEGO BAY,,,,18.4628,-77.939,America/Jamaica,No,No
JMOCJ,,OCHO RIOS,,,,18.4128,-77.1128,America/Jamaica,No,No
JMPKS,,PORT KAISER,,,,17.8557,-77.6041,America/Jamaica,No,No
JMPRH,,PORT RHOADES,,,,18.4659,-77.4085,America/Jamaica,No,No
JMROP,,ROCKY POINT,,,,17.8152,-77.131,America/Jamaica,No,No
JOAQB,,AQABA,`AQABA,JO,AQA,29.5141,34.9936,Asia/Amman,Yes,Yes
JOAQJ,,AL AQABAH,AL `AQABAH,,,29.5393,34.9799,Asia/Amman,No,No
JPABA,,ABASHIRI,,,,44.0223,144.2927,Asia/Tokyo,No,No
JPABU,,ABURATSU,,,,31.5706,131.4015,Asia/Tokyo,No,No
JPAFG,,AKITA FUNAKAWA,,,,39.7631,140.0391,Asia/Tokyo,No,No
JPAKO,,AKOH,,,,34.7199,134.3705,Asia/Tokyo,No,No
JPAKT,,AKITSU,,,,34.3124,132.8156,Asia/Tokyo,No,No
JPAMX,,AMAGASAKINISHINOMIYA,,,,34.6639,135.3423,Asia/Tokyo,No,No
JPAOJ,,AOMORI,,,,40.8377,140.7442,Asia/Tokyo,No,No
JPAOK,,AOKATA,,,,32.9821,129.0492,Asia/Tokyo,No,No
JPATM,,ATSUMI,,,,34.6635,137.0795,Asia/Tokyo,No,No
JPAXT,,AKITA,,,,39.7595,140.0498,Asia/Tokyo,No,No
JPCCF,,CHOFU,,,,34.0074,131.0039,Asia/Tokyo,No,No
JPCHB,,CHIBA,,,,35.5944,140.0842,Asia/Tokyo,No,No
JPCHI,,CHINA,,,,27.3267,128.5686,Asia/Tokyo,No,No
JPCTA,,CHITA,,,,35.0211,136.8429,Asia/Tokyo,No,No
JPETA,,ETAJIMA,,,,34.1926,132.4914,Asia/Tokyo,No,No
JPFKY,,FUKUYAMA,,,,34.4437,133.449,Asia/Tokyo,No,No
JPFNU,,FUNAUKI,,,,24.3366,123.7393,Asia/Tokyo,No,No
JPFTS,,FUTTSU,,,,35.3521,139.8122,Asia/Tokyo,No,No
JPGAM,,GAMAGORI,,,,34.8124,137.2241,Asia/Tokyo,No,No
JPHAG,,HAGI,,,,34.4374,131.4018,Asia/Tokyo,No,No
JPHAN,,HANNAN,,,,34.4812,135.3348,Asia/Tokyo,No,No
JPHAT,,HATSUKAICHI,,,,34.3368,132.3471,Asia/Tokyo,No,No
JPHBI,,HIBIKINADA TERMINAL,,,,33.9376,130.86,Asia/Tokyo,No,No
JPHHE,,HACHINOHE,,,,40.5414,141.5407,Asia/Tokyo,No,No
JPHHR,,HIGASHIHARIMA,,,,34.7067,134.8121,Asia/Tokyo,No,No
JPHIB,,HIBI,,,,34.4514,133.9307,Asia/Tokyo,No,No
JPHIC,,HITACHINAKA,,,,36.4295,140.6167,Asia/Tokyo,No,No
JPHIJ,,HIROSHIMA,,,,34.3369,132.4513,Asia/Tokyo,No,No
JPHIM,,HIMEJI,,,,34.7647,134.6215,Asia/Tokyo,No,No
JPHKD,,HAKODATE,,,,41.7998,140.6981,Asia/Tokyo,No,No
JPHKT,,HAKATA,,JP,HAAE,33.6129,130.3891,Asia/Tokyo,Yes,Yes
JPHMD,,HAMADA,,,,34.9002,132.0546,Asia/Tokyo,No,No
JPHMK,,HIMEKAWA,,,,37.0506,137.8491,Asia/Tokyo,No,No
JPHRA,,HIRAO,,,,33.9006,132.0566,Asia/Tokyo,No,No
JPHRM,,HARAMACHI,,,,37.6702,141.0335,Asia/Tokyo,No,No
JPHSM,,HOSOSHIMA,,JP,HOS,32.4557,131.6696,Asia/Tokyo,Yes,Yes
JPHTC,,HITACHI,,,,36.4824,140.6299,Asia/Tokyo,No,No
JPICW,,ISHIKARI BAY,,,,43.1999,141.2865,Asia/Tokyo,No,No
JPIHA,,NIIHAMA,,,,33.9835,133.2618,Asia/Tokyo,No,No
JPIIN,,NISHINOOMOTE,,,,30.7285,130.9869,Asia/Tokyo,No,No
JPIMB,,IMABARI,,,,34.0604,133.0241,Asia/Tokyo,No,No
JPIMI,,IMARI,,,,33.329,129.8093,Asia/Tokyo,No,No
JPINS,,INNOSHIMA,,,,34.2652,133.1879,Asia/Tokyo,No,No
JPIRK,,IRAGO,,,,34.5894,137.0169,Asia/Tokyo,No,No
JPISG,,ISHIGAKI,,JP,ISHI,24.3365,124.1411,Asia/Tokyo,Yes,Yes
JPISM,,ISHINOMAKI,,,,38.3988,141.3161,Asia/Tokyo,No,No
JPIWK,,IWAKUNI,,,,34.1943,132.2382,Asia/Tokyo,No,No
JPIYM,,IYOMISHIMA,,,,33.9886,133.5265,Asia/Tokyo,No,No
JPIYO,,IYO NADA,,,,33.4781,132.2497,Asia/Tokyo,No,No
JPIZH,,IZUHARA,,,,34.1941,129.2923,Asia/Tokyo,No,No
JPIZS,,IZUMISANO,,,,34.4373,135.3221,Asia/Tokyo,No,No
JPKAE,,KASHIMA,,,,35.9299,140.7001,Asia/Tokyo,No,No
JPKAR,,KARATSU,,,,33.4762,129.9525,Asia/Tokyo,No,No
JPKCZ,,KOCHI,,,,33.5057,133.5856,Asia/Tokyo,No,No
JPKII,,KIIRE,,,,31.3985,130.5435,Asia/Tokyo,No,No
JPKIJ,,NIIGATA,,,,38.0119,139.2319,Asia/Tokyo,Yes,No
JPKIK,,KIKUMA,,,,34.0515,132.8521,Asia/Tokyo,No,No
JPKIN,,KINWAN,,,,26.4259,127.8371,Asia/Tokyo,No,No
JPKIS,,KAMAISHI,,,,39.2604,141.9412,Asia/Tokyo,No,No
